3OH!3 ft. Kesha	My First Kiss
Nathan Sykes	Kiss Me Quick
Neikid	Sexual
Nelly	Die a Happy Man
Nelly	Just A Dream
Neon Trees	Sleeping with a Friend
Neon Trees	Animal
New District	Closer
NF	Let You Down
Nick Fradiani	Get You Home
Nickelback	Photograph
Nicki Minaj	Va Va Voom
Nicky Jam & Enrique Iglesias	El Perdon (Forgiveness)
Normani	Motivation
Oh Honey	Be Okay
Olly Murs feat. Flo Rida	Troublemaker
Olly Murs ft Rizzle Kicks	Heart Skips a Beat
Paolo Nutini	Scream (Funk My Life Up)
Pink	Blow Me (One Last Kiss)
Pitbull feat. Chris Brown	International Love
Pitbull feat. Ne-Yo, Afrojack and Nayer	Give Me Everything
Pitbull ft. Christina Aguilera	Feel this Moment
Pitbull ft. Enrique Iglesias	Messin' Around
Pitbull ft. Kesha	Timber
Randy Houser	How Country Feels
Rick Ross ft. Usher	Touch 'n You
Rihanna	Pour It Up
Rihanna	Cheers (Drink To That)
Rihanna	Only Girl (In The World)
Rihanna	S&M
Rixton	Wait On Me
Robin Thicke	Feel Good
Sean Kingston ft. Justin Bieber	Eenie Meenie
Sean Paul	I like
Selena Gomez	Hands To Myself
Sevyn Streeter ft. Chris Brown	It Won't Stop
Shakira ft. Rihanna	Can't Remember to Forget You
Sia	Chandelier
Tag Team	Whomp there it is
Taio Cruz ft. Kesha	Dirty Picture
Taylor Swift	Delicate
Taylor Swift	I Knew You Were Trouble
Taylor Swift	We Are Never Ever Getting Back Together
Taylor Swift ft. Kendrick Lamar	Bad Blood
The Band Perry	Better Dig Two
The Band Perry	If I Die Young
The Ready Set	Higher
The Strumbellas	Spirits
The Vamps	I found a Girl
The Weeknd	Faith
The Weeknd	Pray For Me
The Weeknd f./Daft Punk	I Feel It Coming
Thomas Rhett	Look What God Gave Her
Thomas Rhett	Marry Me
Thomas Rhett	Get Me Some of That
Thompson Square	Are You Gonna Kiss Me Or Not
Tiesto	Wasted
Timeflies ft. Natalie La Rose	Worse Things Than Love
Tinie Tempah ft. Zara Larsson	Girls Like
Toby Keith	Beers Ago
Toby Keith	Red Solo Cup
Tori Kelly	Hollow
Tove Lo	Timebomb (Pop Mix)
Train	Drive By
Twenty One Pilots	Heathens
Twenty One Pilots	Ride
Tyga ft. Rick Ross	Dope
Tyler Farr	I guy goes into a bar
Usher	Climax
Usher	Scream
Usher ft. Rick Ross	Lemme See
Wale ft. Jeremih	The Body
will.i.am ft. Miley Cyrus	Fall Down
Zac Brown Band	Beautiful Drug
Zara Larsson	Ain't My Fault
Zayn Malik	Like I Would
Zedd ft. Hayley Williams	Stay the Night
Zendaya	Something New
ZHU	Faded
5 Seconds of Summer	No Shame
Khalid	Up All Night
Lady Gaga	Fun Tonight
Nelly Furtado, Timbaland	Promiscuous
Shawn Mendes	Monster (Shawn Mendes & Justin Bieber)
Shawn Mendes	Teach Me How To Love
WILLOW	t r a n s p a r e n t s o u l feat. Travis Barker
Fergie	A Little Party Never Killed Nobody
Florida Georgia Line Ft Luke Bryan 	This Is How We Roll
Flo Rida     	Wild Ones (feat. Sia)
Bruno Mars	Runaway baby
Florida Georgia Line	Confession
5 Seconds of Summer  	Youngblood
Conan Gray	Maniac
Jonas Brothers 	Only Human
Katy Perry	Cry About It Later
Luke Bryan 	One Margarita
Luke Combs 	Lovin' On You
Luke Combs Featuring Eric Church	Does To Me
Morgan Wallen	865
Sam Feldt	Post Malone (feat. RANI)
The Kid LAROI	NOT SOBER (feat. Polo G & Stunna Gambino)
Maroon 5 	Memories
Ke$ha	C'mon
Twenty One Pilots	Saturday
Arctic Monkeys	Why'd You Only Call Me When You're High?
Camila Cabello	Never Be the Same
Coldplay ft. Beyonce	Hymn For The Weekend
Demi Lovato	Dancing With The Devil
Dua Lipa	We're Good
Ed Sheeran	Sing
Hot Chelle Rae	Don't Say Goodnight
Kid Rock vs Lynyrd Skynyrd	All Summer Long
Lily Allen	Air Balloon
Lorde	Solar Power
Powfu Featuring beabadoobee	Death Bed
AJR	Bang!
AJR	Weak
Rednex 	Cotton Eye Joe
Sugarhill Gang	Jump On It
Taylor Swift	Only The Young - Featured in Miss Americana
Blake Shelton	God's Country
Frankie Goes To Hollywood	Relax
Justin Bieber 	Yummy
Lady Gaga	Sour Candy (with BLACKPINK)
Luis fonsi & Daddy Yankee ft.Justin Bieber	Despacito
Selena Gomez	A Sweeter Place (feat. Kid Cudi)
